date,2022,2023,2024
19.11.2024,0,65.33,#N/A
20.11.2024,0,65.33,#N/A
21.11.2024,0,65.33,#N/A
22.11.2024,0,65.33,#N/A
23.11.2024,0,65.33,#N/A
24.11.2024,0,65.33,#N/A
25.11.2024,0,65.33,#N/A
26.11.2024,0,65.33,#N/A
27.11.2024,0,65.33,#N/A
28.11.2024,0,65.33,#N/A
29.11.2024,0,65.33,#N/A
30.11.2024,0,65.33,#N/A
01.12.2024,0,65.33,#N/A
02.12.2024,0,65.33,#N/A
03.12.2024,0,65.33,#N/A
04.12.2024,0,65.33,#N/A
05.12.2024,0,65.33,#N/A
06.12.2024,0,65.33,#N/A
07.12.2024,0,65.33,#N/A
08.12.2024,0,65.33,#N/A
09.12.2024,0,65.33,#N/A
10.12.2024,0,65.33,#N/A
11.12.2024,0,65.33,#N/A
12.12.2024,0,65.33,#N/A
13.12.2024,0,65.33,#N/A
14.12.2024,0,65.33,#N/A
15.12.2024,0,65.33,#N/A
16.12.2024,0,65.33,#N/A
17.12.2024,0,65.33,#N/A
18.12.2024,0,65.33,#N/A
19.12.2024,0,65.33,#N/A
20.12.2024,0,65.33,#N/A
21.12.2024,0,65.33,#N/A
22.12.2024,0,65.33,#N/A
23.12.2024,0,65.33,#N/A
24.12.2024,0,65.33,#N/A
25.12.2024,0,74.426,#N/A
26.12.2024,4.2,74.426,#N/A
27.12.2024,7.2,74.426,#N/A
28.12.2024,7.2,74.426,#N/A
29.12.2024,7.2,74.426,#N/A
30.12.2024,7.2,74.426,#N/A
31.12.2024,8.4,74.426,#N/A
